"","sites","x","y","urban","wetland","rabbit","rain1","rain2","rain3","rain4","y1","y2","y3","y4"
"1",390,20,10,0.36101842762488,0.508812305102666,0.216689038697946,0,0,0,0,0,0,0,0
"2",25,2,5,0.738251932696413,0.63204703381733,1.58614195287743,1,0,0,1,0,0,0,0
"3",292,15,12,0.176280926362258,0.541400513426738,2.39213864327125,1,0,0,0,0,1,0,0
"4",54,3,14,0.539197123405818,0.392721264833318,1.21230766309229,1,0,0,0,0,0,0,0
"5",154,8,14,0.378885062414927,0.49050088551836,4.05396131446498,0,0,1,0,1,0,0,0
"6",214,11,14,0.445486439392921,0.616908875425065,0.436462568063952,0,0,0,0,0,1,0,1
"7",202,11,2,0.779236940937738,0.664521367976915,2.95886419340158,0,1,0,1,1,0,1,0
"8",308,16,8,0.455782036398569,0.379930210185067,1.05343008749933,0,0,0,1,0,0,0,0
"9",327,17,7,0.582783917456216,0.455403618487147,2.94570372184111,1,1,0,1,0,0,0,1
"10",97,5,17,0.219561532637115,0.134481415047244,2.55204246531074,0,1,0,1,0,0,0,0
"11",256,13,16,0.439165198263912,0.290620395418677,1.74918724772509,0,0,0,1,1,0,0,0
"12",195,10,15,0.589010143156284,0.393748927773744,4.78640703551226,0,0,0,0,0,0,0,0
"13",236,12,16,0.530279483288097,0.378788666159876,2.4436635278354,0,0,1,0,0,0,0,0
"14",117,6,17,0.341473660608261,0.376261626936918,2.35059319159677,1,1,0,0,0,0,0,0
"15",29,2,9,0.439027198464609,0.347601719865533,1.4208964555482,0,0,0,0,0,0,1,0
"16",332,17,12,0.125295583929554,0.647937629802565,0.411518860987994,0,1,0,0,0,0,0,0
"17",169,9,9,0.320283852921094,0.350937085486186,3.96396281686299,0,1,0,0,0,0,0,0
"18",319,16,19,0.471847403726253,0.57908519894923,4.12067236001912,1,0,1,1,0,0,0,0
"19",11,1,11,0.400034133491558,0.341290849029958,2.81587020572666,0,1,0,1,0,0,0,0
"20",209,11,9,0.405662478628257,0.382627655732369,6.00083103398269,1,1,0,0,0,0,1,0
"21",384,20,4,0.746720286116838,0.578182888129701,0.000344934966810095,0,1,0,0,0,0,0,0
