"","site","elev","burn.sev","lat","canopy.cover","jday"
"17","AMER.KH02",1363,5.41197896340897,39.107570255,54.44444529,174
"18","AMER.KH04",1393,4.79306483903398,39.111150379,66.16666508,174
"19","AMER.KH06",1405,13.4350868332833,39.114581439,67.66666794,174
"20","AMER.KH08",1426,13.2724603899354,39.118620713,77.77777608,174
"21","AMER.KH10",1424,48.6155325659043,39.122918201,67.77777735,174
"22","AMER.KS02",1336,87.0146542702733,39.098264777,80,174
"23","AMER.KS04",1319,25.4582212302629,39.094057427,71.66666794,173
"24","AMER.KS08",1310,76.6658409730625,39.085429901,61.11111069,173
"25","AMER.KS10",1305,1.91654334286612,39.081781329,65.77777735,173
"37","ANCO.RM02",1918,58.9504007764851,40.100786785,41.5,170
"39","ANCO.RM04",1855,86.4613548050574,40.098892674,80,170
"41","ANCO.RM06",1815,97.5435700425719,40.095721125,56.88888804,170
"43","ANCO.RM08",1759,44.4770228797699,40.091147326,80,170
"45","ANCO.RM10",1751,9.94818126011257,40.086920123,80,170
"47","ANGO.BW02",1977,61.7701710522981,38.894650474,38.77777735,147
"48","ANGO.BW04",2035,85.0074088194476,38.899294243,45.5,147
"49","ANGO.BW06",2140,96.9771988123123,38.903490498,35,147
"50","ANGO.BW08",2090,10.68607097578,38.90722875,49.33333333,147
"51","ANGO.BW10",1972,100,38.911863705,46.66666667,147
"52","ANGO.DM02",2083,100,38.891178512,51.16666603,147
"53","ANGO.DM04",2030,100,38.886703183,50,147
"54","ANGO.DM06",1967,99.5178296572614,38.882230517,50,147
"55","ANGO.DM08",1968,100,38.877939946,50,147
"56","ASPE.MF02",1493,3.2269498822844,37.34263972,46.66666698,153
"57","ASPE.MF04",1514,55.8467786393161,37.345218863,32,153
"58","ASPE.MF06",1508,21.1675830237083,37.342551597,63.11111069,153
"59","ASPE.MF08",1501,29.6208737082078,37.338411131,41.41666651,153
"60","ASPE.MF10",1418,9.22069235145204,37.334993127,60.50000095,153
"61","ASPE.RF02",1547,60.2958367365842,37.338845778,47.22222265,153
"62","ASPE.RF04",1537,73.8506724665771,37.338428292,40.11111069,153
"63","ASPE.RF06",1559,20.77475029894,37.335768656,46.44444402,153
"64","ASPE.RF08",1636,10.2268466538568,37.336115357,50.11111069,153
"65","ASPE.RF10",1662,33.1572565917377,37.335177626,56.88888804,153
"72","BAPO.MM06",1639,51.679844698262,41.909831021,76.66666412,178
"75","BAPO.SS02",1595,51.2411750917652,41.897659353,80,178
"76","BAPO.SS04",1589,74.2979191166746,41.894276514,44.66666603,178
"77","BAPO.SS06",1586,61.035684230269,41.89006228,46.88888931,178
"78","BAPO.SS08",1594,8.30828424359078,41.885507528,44,178
"79","BAPO.SS10",1591,77.3943394880287,41.881392734,55.66666794,178
"80","BASS.RG02",1784,32.4071454768009,39.62591452,49.41666698,155
"81","BASS.RG04",1759,78.1216733201743,39.620998213,71.11111069,155
"82","BASS.RG08",1765,98.9039678474518,39.618997458,80,155
"84","BASS.RM02",1925,62.3484859450038,39.625601455,80,154
"86","BASS.RM04",1957,35.1050985060557,39.630201851,72.22222137,154
"88","BASS.RM06",1899,0.00559328904330741,39.631619265,57.77777735,154
"90","BASS.RM08",1913,44.8838249306822,39.626741042,80,154
"92","BEAR.JW04",2328,100,37.32358516,37.66666603,152
"93","BEAR.JW12",2343,83.6045250148496,37.32815544,31.66666603,152
"94","BEAR.JW14",2444,88.8956186194793,37.328162202,43.5,152
"95","BEAR.LS02",2263,99.41347977889,37.323670321,44,152
"96","BEAR.LS96",2248,52.3819308213013,37.321512355,38,152
"98","BELD.EH02",779,91.1160349602783,40.010820087,80,183
"100","BELD.EH04",930,99.2048470978095,40.014585966,80,183
"102","BELD.EH06",987,100,40.017032768,80,183
"104","BELD.JW02",744,0.581495965433723,40.007898189,80,183
"164","BOCO.HP06",1549,90.9566965719633,40.192512218,43.99999873,158
