Site,k.1,k.2,k.3
AMER.KH02,0,0,0
AMER.KH04,0,0,0
AMER.KH06,0,0,0
AMER.KH08,0,0,0
AMER.KH10,0,0,0
AMER.KS02,0,0,0
AMER.KS04,0,0,0
AMER.KS08,0,0,0
AMER.KS10,0,0,0
ANCO.RM02,0,0,0
ANCO.RM04,0,0,0
ANCO.RM06,0,0,0
ANCO.RM08,0,0,0
ANCO.RM10,0,0,0
ANGO.BW02,0,0,0
ANGO.BW04,0,0,0
ANGO.BW06,0,0,0
ANGO.BW08,0,0,0
ANGO.BW10,0,0,0
ANGO.DM02,0,0,0
ANGO.DM04,0,0,0
ANGO.DM06,0,0,0
ANGO.DM08,0,0,0
ASPE.MF02,0,0,0
ASPE.MF04,0,0,0
ASPE.MF06,1,1,1
ASPE.MF08,0,0,1
ASPE.MF10,0,0,0
ASPE.RF02,0,0,0
ASPE.RF04,0,0,0
ASPE.RF06,0,0,0
ASPE.RF08,0,0,0
ASPE.RF10,0,0,0
BAPO.MM06,0,0,0
BAPO.SS02,0,0,0
BAPO.SS04,0,0,0
BAPO.SS06,0,0,0
BAPO.SS08,0,0,0
BAPO.SS10,0,0,0
BASS.RG02,0,0,0
BASS.RG04,0,0,0
BASS.RG08,0,0,0
BASS.RM02,0,0,0
BASS.RM04,1,0,1
BASS.RM06,1,0,0
BASS.RM08,0,0,0
BEAR.JW04,0,0,0
BEAR.JW12,0,0,0
BEAR.JW14,0,0,0
BEAR.LS02,0,0,0
BEAR.LS96,0,0,0
BELD.EH02,0,0,0
BELD.EH04,0,0,0
BELD.EH06,0,0,0
BELD.JW02,0,0,0
BOCO.HP06,1,1,1
BOCO.HP10,0,0,0
BOCO.RM02,0,0,0
BOCO.RM04,1,1,0
BOCO.RM06,1,1,1
BOCO.RM08,0,0,0
BOCO.RM10,0,0,0
BRBE.BW02,0,0,0
BRBE.BW04,0,0,0
BRBE.BW06,0,0,0
BRBE.BW08,0,0,0
BRBE.BW10,1,0,0
BRBE.DM02,0,0,0
BRBE.DM04,1,1,0
BRBE.DM06,0,0,0
BRBE.DM08,0,0,0
BRBE.DM10,0,0,0
BROW.EH06,0,0,0
BROW.EH10,0,0,0
BROW.JW02,0,0,0
BROW.JW06,0,0,0
BROW.JW08,0,0,0
BROW.JW10,0,0,0
CHIP.MM04,0,0,0
CHIP.MM10,1,0,1
COLD.KS02,0,0,0
COLD.KS04,0,0,0
COLD.KS06,0,0,0
COLD.KS08,0,0,0
COLD.SS02,0,0,0
COLD.SS04,0,0,0
COLD.SS06,0,0,0
COLD.SS08,0,0,0
COLD.SS10,1,1,1
COMB.JW10,1,1,1
COMB.LS02,0,0,0
COMB.LS04,1,1,0
COMB.LS06,0,0,0
COMB.LS08,0,0,0
COMB.LS10,1,1,1
COMB.MS02,0,0,0
COMB.MS04,0,0,0
COMB.MS06,0,0,0
COMB.MS08,0,0,0
CORR.KS06,0,0,0
CORR.KS08,0,0,0
CORR.KS10,0,0,0
COUG.SS02,0,0,0
COUG.SS04,0,0,0
COUG.SS06,0,0,0
COUG.SS08,0,0,0
COUG.SS10,0,0,0
CR05.RG02,0,0,0
CR05.RG04,0,0,0
CR05.RG06,1,0,1
CR05.RG08,1,1,1
CR05.RG10,0,1,1
CR05.RM02,1,1,0
CR05.RM04,0,1,1
CR05.RM06,0,0,0
CR05.RM08,0,0,0
CR05.RM10,0,0,0
CUB_.EH02,1,1,0
CUB_.EH04,0,0,0
CUB_.EH06,1,1,1
CUB_.EH08,0,0,0
CUB_.EH10,1,1,0
DEEP.RG02,1,1,1
DEEP.RG04,0,0,0
DEEP.RM02,0,0,0
DEEP.RM03,0,0,0
DEEP.RM04,0,0,0
DEEP.RM06,0,0,0
DORO.MF02,0,0,1
DORO.MF04,0,0,0
DORO.MF06,0,0,0
DORO.MF08,0,0,1
DORO.MF10,1,1,0
DORO.RF02,0,0,0
DORO.RF04,1,1,0
DORO.RF06,0,0,0
DORO.RF08,0,0,0
FALL.BW02,1,1,1
FALL.DM02,1,1,1
FALL.DM04,0,0,0
FALL.LS06,0,0,0
FISH.MF02,0,0,0
FISH.MF04,0,1,1
FISH.MF06,0,0,0
FISH.MF08,0,0,1
FISH.MF10,0,0,0
FISH.RF02,0,0,0
FISH.RF04,0,0,0
FISH.RF06,0,0,0
FISH.RF08,0,0,0
FISH.RF10,0,0,0
FLET.HP02,0,0,0
FLET.HP04,0,0,0
FLET.KS10,0,0,0
FLET.RM04,0,0,0
FLET.RM06,0,0,0
FOX_.EH02,0,0,0
FOX_.EH04,0,0,0
FOX_.EH06,0,0,0
FOX_.EH08,0,0,0
FOX_.EH10,0,0,0
FOX_.SS02,0,0,0
FOX_.SS04,0,0,0
FOX_.SS06,0,0,0
FOX_.SS08,0,0,0
FRED.BW04,0,0,0
FRED.BW10,0,0,0
FRED.DM06,0,0,0
FREY.EH06,0,0,0
FREY.EH08,0,0,0
FREY.EH10,0,0,0
FREY.JW02,0,0,0
FREY.JW04,0,0,0
FREY.JW06,0,0,0
FREY.JW08,0,0,0
FREY.JW10,0,0,0
FREY.SS12,0,1,1
FREY.SS14,0,0,0
GEOR.JW30,0,0,0
GEOR.JW32,0,0,0
GEOR.JW34,0,0,0
GEOR.JW42,0,0,0
GEOR.JW44,0,0,0
GEOR.LS22,1,1,1
GEOR.LS24,0,0,0
GEOR.LS26,0,0,1
GEOR.LS28,1,1,1
GOVE.BW02,0,0,0
GOVE.BW04,0,0,0
GOVE.BW06,0,0,0
GOVE.DM02,1,0,1
GOVE.DM04,1,1,1
GOVE.DM06,1,0,0
GOVE.DM08,1,1,0
GOVE.DM10,0,0,0
GRAN.BW02,0,0,0
GRAN.BW04,0,0,0
GRAN.BW06,0,0,0
GRAN.BW08,1,1,1
GRAN.BW10,0,0,0
GRAN.DM02,1,1,0
GRAN.DM06,1,1,1
GRAN.DM08,0,0,0
GRAN.DM10,1,1,1
HARD.RG02,0,0,0
HARD.RG04,0,0,0
HARD.RG06,0,0,0
HARD.RG08,0,0,0
HARD.RM02,0,0,0
HARD.RM04,0,0,0
HARD.RM06,0,0,0
HARD.RM08,0,0,0
HIGH.EH02,0,0,0
HIGH.EH04,0,0,0
HIGH.EH06,0,0,0
HIGH.EH08,0,0,0
HIGH.JW02,0,0,0
HIGH.JW04,0,0,0
HIGH.JW06,0,0,0
HIGH.JW08,0,0,0
HIGH.JW10,0,0,0
KNIG.DM02,0,0,0
KNIG.DM04,0,0,0
KNIG.DM06,0,0,0
KNIG.DM08,0,0,0
KNIG.RS02,0,0,0
KNIG.RS04,0,0,0
KNIG.RS06,0,0,0
KNIG.RS08,0,1,0
KNIG.RS10,0,0,0
LIO2.LS02,0,0,0
LIO2.LS04,0,1,1
LIO2.LS06,0,1,1
LIO2.LS08,0,0,0
LIO2.LS10,0,0,0
LIO2.MS02,1,0,1
LIO2.MS04,0,0,0
LIO2.MS06,0,1,1
LIO2.MS08,0,0,0
LIO2.MS10,0,0,0
MOON.HP02,1,0,0
MOON.HP04,0,0,0
MOON.HP08,1,0,0
MOON.HP10,1,1,1
ONIO.EH04,0,0,0
ONIO.EH06,0,0,0
ONIO.EH08,0,0,0
ONIO.EH10,0,0,0
ONIO.JW02,0,0,0
ONIO.JW04,0,0,0
ONIO.JW06,0,0,0
ONIO.JW08,0,0,0
ONIO.JW10,0,0,0
PECO.HP04,0,0,0
PECO.HP06,0,0,0
PECO.HP08,0,0,0
PECO.HP10,0,0,0
PECO.RM02,0,0,0
PECO.RM04,0,0,0
PECO.RM06,0,0,0
PECO.RM08,0,0,0
PECO.RM10,0,0,0
PI08.RG01,0,0,1
PI08.RG02,0,0,1
PI08.RG04,0,0,0
PI08.RG06,0,0,0
PI08.RG08,1,1,1
PI08.RG10,0,0,0
PI08.RM02,0,0,0
PI08.RM04,1,1,0
PI08.RM06,0,0,0
PI08.RM08,0,0,0
PI08.RM10,0,0,0
POWE.BW02,0,0,0
POWE.BW06,0,0,0
POWE.BW08,0,0,0
POWE.BW10,0,0,0
POWE.DM02,1,0,1
POWE.DM04,1,1,1
POWE.DM10,0,0,0
RAMS.JW54,0,0,0
RAMS.JW56,0,0,0
RAMS.JW60,0,0,0
RAMS.JW62,0,0,0
RAMS.LS73,0,1,1
RAMS.LS75,0,0,0
RAMS.LS77,0,0,0
READ.KC02,1,1,1
READ.RS04,0,0,0
READ.RS06,1,1,1
READ.SS06,0,0,0
READ.SS10,0,0,0
RICH.HP02,0,0,0
RICH.HP08,0,0,0
RICH.RM02,0,0,0
RICH.RM04,0,0,0
RICH.RM06,0,0,0
RICH.RM10,0,0,0
RICH.RM12,1,0,0
RIMM.MF02,0,0,0
RIMM.MF04,0,0,0
RIMM.MF06,0,0,0
RIMM.MF08,0,0,0
RIMM.MF10,0,0,0
RIMM.RF02,0,0,0
RIMM.RF04,0,0,0
RIMM.RF06,0,0,0
RIMM.RF08,0,0,0
RIMM.RF10,0,0,0
SCOT.HP02,0,0,0
SCOT.HP04,0,0,0
SCOT.HP06,0,0,0
SCOT.HP08,0,0,0
SCOT.HP10,0,0,0
SCOT.RM02,0,0,0
SCOT.RM04,0,0,0
SCOT.RM06,0,0,0
SCOT.RM08,0,0,0
SCOT.RM10,0,0,0
SHEE.LS02,0,0,0
SHEE.LS04,0,0,0
SHEE.LS06,0,0,0
SHEE.LS08,0,0,0
SHEE.LS10,0,0,0
SHEE.MS02,0,0,0
SHEE.MS04,1,1,0
SHEE.MS06,0,0,0
SHEE.MS08,0,0,0
SHEE.MS10,0,0,0
SHER.MM02,1,1,1
SHER.MM04,0,0,0
SHER.SS02,0,0,1
SHER.SS04,0,0,0
SHER.SS06,0,0,0
SHER.SS08,0,0,0
